,Date,Time,Name,pH,Temp
0,22/04/20,17:24:34,LOG_000,7.340,23.8
1,22/04/20,17:25:35,LOG_000,7.375,23.9
2,22/04/20,17:26:35,LOG_000,7.480,23.9
